match_id,inning-batting,name,position,over-batsman,score,balls_bat,dots,ones,twos,threes,fours,sixes,out,balls_bowl,maidens,runs_bowled,wickets,bowler_extras,wicket_score,wicket_overs,wicket_no,wicket_bowler
392226,2,S Sohal,1,0.1,3,12,9,3,0,0,0,0,bowled,0,0,0,0,0,35,4.1,2,A Nehra
392226,2,SM Katich,2,0.1,20,10,4,2,0,0,3,1,caught,0,0,0,0,0,22,3.1,1,MF Maharoof
392226,2,LA Pomersbach,3,3.2,9,5,3,1,0,0,2,0,caught,0,0,0,0,0,35,5.2,3,MF Maharoof
392226,2,Yuvraj Singh,4,4.2,18,31,18,10,2,0,1,0,caught,6,0,14,0,0,88,15.5,4,PJ Sangwan
392226,2,KC Sangakkara,5,5.3,43,47,24,11,4,0,6,0,0,0,0,0,0,0,0,0.0,0,0
392226,2,IK Pathan,6,15.6,21,10,5,1,1,0,0,3,0,24,0,22,2,0,0,0.0,0,0
392226,2,B Lee,0,0.0,0,0,0,0,0,0,0,0,0,24,1,13,3,2,0,0.0,0,0
392226,2,PP Chawla,0,0.0,0,0,0,0,0,0,0,0,0,18,1,15,0,1,0,0.0,0,0
392226,2,S Sreesanth,0,0.0,0,0,0,0,0,0,0,0,0,24,0,18,2,2,0,0.0,0,0
392226,2,RR Powar,0,0.0,0,0,0,0,0,0,0,0,0,18,0,18,0,2,0,0.0,0,0
392226,2,WA Mota,0,0.0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0.0,0,0
598007,1,Mandeep Singh,1,0.1,9,10,4,3,1,0,1,0,caught,0,0,0,0,0,20,2.5,2,DP Nannes
598007,1,AC Gilchrist,2,0.1,9,6,3,1,0,0,2,0,caught,0,0,0,0,0,19,2.3,1,DP Nannes
598007,1,M Vohra,3,2.4,16,11,5,2,1,0,3,0,caught,0,0,0,0,0,50,6.6,3,RA Jadeja
598007,1,DJ Hussey,4,2.6,41,36,13,17,1,0,4,1,caught,0,0,0,0,0,106,14.1,4,R Ashwin
598007,1,Gurkeerat Singh,5,7.1,31,26,6,9,5,0,3,0,caught,0,0,0,0,0,116,15.1,5,DJ Bravo
598007,1,Azhar Mahmood,6,14.2,8,7,1,4,2,0,0,0,caught,24,0,33,0,1,127,16.4,6,CH Morris
598007,1,R Sathish,7,15.2,8,6,2,2,1,0,1,0,caught,6,0,15,0,0,133,17.2,7,DJ Bravo
598007,1,PP Chawla,8,16.5,4,5,4,0,0,0,1,0,caught,24,0,21,0,0,133,17.5,8,DJ Bravo
598007,1,RJ Harris,9,17.3,0,2,2,0,0,0,0,0,caught,24,0,30,0,0,134,18.2,9,CH Morris
598007,1,P Kumar,10,17.6,3,5,1,3,0,0,0,0,run out,14,0,17,0,1,138,19.5,10,DP Nannes
598007,1,P Awana,11,18.3,1,5,4,1,0,0,0,0,0,12,0,20,0,0,0,0.0,0,0
598007,2,M Vijay,1,0.1,50,50,19,22,5,0,3,1,0,0,0,0,0,0,0,0.0,0,0
598007,2,MEK Hussey,2,0.1,86,54,15,20,5,0,11,2,0,0,0,0,0,0,0,0.0,0,0
598007,2,DP Nannes,0,0.0,0,0,0,0,0,0,0,0,0,23,0,17,2,0,0,0.0,0,0
598007,2,AS Rajpoot,0,0.0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0.0,0,0
598007,2,CH Morris,0,0.0,0,0,0,0,0,0,0,0,0,24,0,27,2,0,0,0.0,0,0
598007,2,RA Jadeja,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,1,0,0,0.0,0,0
598007,2,DJ Bravo,0,0.0,0,0,0,0,0,0,0,0,0,24,0,25,3,2,0,0.0,0,0
598007,2,R Ashwin,0,0.0,0,0,0,0,0,0,0,0,0,18,0,22,1,0,0,0.0,0,0
489220,1,PA Patel,1,0.1,26,20,6,10,1,0,2,1,caught,0,0,0,0,0,48,6.6,3,DJG Sammy
489220,1,S Dhawan,2,0.1,5,11,6,5,0,0,0,0,caught,0,0,0,0,0,13,2.6,1,DJG Sammy
489220,1,V Kohli,3,3.1,14,11,4,6,0,0,2,0,caught,0,0,0,0,0,48,6.5,2,DJG Sammy
489220,1,S Badrinath,4,6.6,43,36,12,15,4,0,5,0,caught,0,0,0,0,0,134,18.1,6,D Bishoo
489220,1,SK Raina,5,7.1,2,6,4,2,0,0,0,0,caught,0,0,0,0,0,56,8.4,4,DJG Sammy
489220,1,RG Sharma,6,8.5,30,23,7,12,1,0,0,2,bowled,0,0,0,0,0,127,17.5,5,CD Barnwell
489220,1,YK Pathan,7,17.6,15,6,1,3,0,0,0,2,0,24,0,22,0,0,0,0.0,0,0
489220,1,Harbhajan Singh,8,18.2,15,7,1,3,1,0,1,1,0,24,0,23,2,2,0,0.0,0,0
489220,2,ADS Fletcher,1,0.1,11,16,12,2,0,1,0,1,bowled,0,0,0,0,0,22,4.2,2,MM Patel
489220,2,LMP Simmons,2,0.1,9,9,4,3,1,0,1,0,caught,0,0,0,0,0,22,3.6,1,R Ashwin
489220,2,DM Bravo,3,3.7,41,41,19,13,4,0,5,0,bowled,0,0,0,0,0,92,15.6,4,Harbhajan Singh
489220,2,MN Samuels,4,4.3,27,29,11,13,1,0,3,0,caught,0,0,0,0,0,88,15.4,3,Harbhajan Singh
489220,2,DJG Sammy,6,15.7,0,2,2,0,0,0,0,0,caught,24,0,16,4,0,93,16.2,5,P Kumar
489220,2,DP Hyatt,5,15.5,14,7,0,4,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0
489220,2,CD Barnwell,7,16.3,34,16,3,4,2,0,2,3,0,12,0,22,1,2,0,0.0,0,0
489220,2,R Rampaul,0,0.0,0,0,0,0,0,0,0,0,0,24,0,34,0,4,0,0.0,0,0
489220,2,AD Russell,0,0.0,0,0,0,0,0,0,0,0,0,12,0,21,0,1,0,0.0,0,0
489220,2,AR Nurse,0,0.0,0,0,0,0,0,0,0,0,0,24,0,22,0,1,0,0.0,0,0
489220,2,D Bishoo,0,0.0,0,0,0,0,0,0,0,0,0,24,0,31,1,0,0,0.0,0,0
489220,1,P Kumar,0,0.0,0,0,0,0,0,0,0,0,0,24,1,27,1,0,0,0.0,0,0
489220,1,R Ashwin,0,0.0,0,0,0,0,0,0,0,0,0,24,0,29,1,1,0,0.0,0,0
489220,1,MM Patel,0,0.0,0,0,0,0,0,0,0,0,0,24,0,35,1,0,0,0.0,0,0
777991,1,Emylia Eliani,1,0.1,13,35,25,5,2,0,1,0,stumped,0,0,0,0,0,34,12.5,4,S Laomi
777991,1,Christina Baret,2,0.1,11,20,14,5,0,0,1,0,caught,0,0,0,0,0,18,5.5,1,N Chantam
777991,1,J Francis,3,5.6,0,1,1,0,0,0,0,0,bowled,0,0,0,0,0,18,5.6,2,N Chantam
777991,1,WA Duraisingam,4,5.7,1,5,4,1,0,0,0,0,run out,16,0,9,0,2,24,7.4,3,N Chantam
777991,1,DI Chunan,5,7.5,3,21,18,3,0,0,0,0,bowled,0,0,0,0,0,34,13.5,5,W Liengprasert
777991,1,Rewina Mohammad,6,12.6,3,5,3,1,1,0,0,0,bowled,6,0,4,0,2,39,15.3,6,N Chantam
777991,1,Nur Aishah,7,13.6,6,16,10,6,0,0,0,0,caught,12,0,7,0,4,49,19.5,8,N Chantam
777991,1,J Intan,8,15.4,0,5,5,0,0,0,0,0,run out,12,0,4,1,3,40,16.3,7,N Boochatham
777991,1,Fathinah Nasri,9,16.4,3,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
777991,1,Nadhirah Nasruddin,10,19.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
777991,2,N Chantam,1,0.1,16,29,21,4,2,0,2,0,caught,24,0,4,4,2,35,7.6,1,J Intan
777991,2,N Boochatham,2,0.1,16,28,18,5,3,0,1,0,0,24,0,7,0,1,0,0.0,0,0
777991,2,N Chaiwai,3,7.7,4,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
777991,2,R Sangsoma,0,0.0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0.0,0,0
777991,2,C Sutthiruang,0,0.0,0,0,0,0,0,0,0,0,0,24,0,14,0,2,0,0.0,0,0
777991,2,W Liengprasert,0,0.0,0,0,0,0,0,0,0,0,0,24,2,6,1,1,0,0.0,0,0
777991,2,S Laomi,0,0.0,0,0,0,0,0,0,0,0,0,12,0,4,1,0,0,0.0,0,0
777991,1,Jannadiah Halim,0,0.0,0,0,0,0,0,0,0,0,0,24,0,12,0,1,0,0.0,0,0
1023595,1,KR Patterson,1,0.1,36,31,12,12,1,0,4,1,bowled,0,0,0,0,0,61,10.2,3,MJ Swepson
1023595,1,RJ Gibson,2,0.1,2,5,3,2,0,0,0,0,stumped,0,0,0,0,0,12,2.3,1,S Badree
1023595,1,SR Watson,3,2.4,0,6,6,0,0,0,0,0,bowled,0,0,0,0,0,13,3.3,2,MT Steketee
1023595,1,EJG Morgan,4,3.4,52,43,16,18,4,0,2,3,caught,0,0,0,0,0,112,16.3,5,S Badree
1023595,1,AD Russell,5,10.3,8,10,6,2,1,0,1,0,caught,22,0,25,0,0,91,14.2,4,BCJ Cutting
1023595,1,BJ Rohrer,6,14.3,17,12,1,7,3,0,1,0,lbw,0,0,0,0,0,130,18.6,7,JD Wildermuth
1023595,1,PJ Cummins,7,16.4,6,6,2,2,0,0,1,0,bowled,24,0,45,2,1,129,18.4,6,JD Wildermuth
1023595,1,CJ Green,8,18.5,26,6,1,1,0,1,0,3,0,24,0,31,2,0,0,0.0,0,0
1023595,1,CJ McKay,9,19.1,1,1,0,1,0,0,0,0,0,24,0,36,1,2,0,0.0,0,0
1023595,2,JJ Peirson,1,0.1,0,2,2,0,0,0,0,0,lbw,0,0,0,0,0,0,0.2,1,CJ McKay
1023595,2,CA Lynn,3,0.3,85,48,9,25,1,0,10,3,0,0,0,0,0,0,0,0.0,0,0
1023595,2,BB McCullum,2,0.1,4,4,3,0,0,0,1,0,bowled,0,0,0,0,0,6,1.2,2,PJ Cummins
1023595,2,AI Ross,4,1.3,11,10,7,1,0,0,1,1,bowled,0,0,0,0,0,19,3.4,3,PJ Cummins
