match-id,team-name,innings,name,batting-position,over-batsman,runs-scored,balls-played,dots,ones,twos,threes,fours,sixes,wicket-method,balls-bowled,maiden-overs,runs-given,wickets,extras,fall-of-wicket-score,fall-of-wicket-overs,fall-of-wicket-no,fall-of-wicket-bowler
593727,England,2,HL Colvin,0,0.0,0,0,0,0,0,0,0,0,0,24,0,25,0,1,0,0.0,0,0
593727,England,2,JL Gunn,0,0.0,0,0,0,0,0,0,0,0,0,24,0,33,1,0,0,0.0,0,0
593727,Australia,1,JL Hunter,0,0.0,0,0,0,0,0,0,0,0,0,24,0,23,1,0,0,0.0,0,0
593727,Australia,1,HL Ferling,0,0.0,0,0,0,0,0,0,0,0,0,24,0,23,1,0,0,0.0,0,0
951373,England,1,JJ Roy,1,0.1,0,2,2,0,0,0,0,0,bowled,0,0,0,0,0,0,0.2,1,S Badree
951373,England,1,JE Root,3,0.3,54,36,6,18,4,0,7,0,caught,6,0,9,2,0,111,14.1,7,CR Brathwaite
951373,England,1,AD Hales,2,0.1,1,3,2,1,0,0,0,0,caught,0,0,0,0,0,8,1.5,2,AD Russell
951373,England,1,EJG Morgan,4,1.6,5,12,10,1,0,0,1,0,caught,0,0,0,0,0,23,4.4,3,S Badree
951373,England,1,JC Buttler,5,4.5,36,22,6,10,2,0,1,3,caught,0,0,0,0,0,84,11.2,4,CR Brathwaite
951373,England,1,BA Stokes,6,11.3,13,8,1,3,3,0,1,0,caught,16,0,39,0,2,110,13.4,5,DJ Bravo
951373,England,1,MM Ali,7,13.5,0,2,2,0,0,0,0,0,caught,0,0,0,0,0,110,13.6,6,DJ Bravo
951373,England,1,DJ Willey,9,14.200000000000001,21,14,7,3,1,0,1,2,caught,24,0,18,3,2,136,17.3,8,CR Brathwaite
951373,England,1,CJ Jordan,8,14.1,12,13,4,6,1,0,1,0,0,24,0,35,0,1,0,0.0,0,0
951373,England,1,LE Plunkett,10,17.4,4,4,1,0,2,0,0,0,caught,24,0,28,0,1,142,18.3,9,DJ Bravo
951373,England,1,AU Rashid,11,18.4,4,4,0,2,1,0,0,0,0,24,0,23,1,0,0,0.0,0,0
951373,West Indies,2,J Charles,1,0.1,1,7,6,1,0,0,0,0,caught,0,0,0,0,0,1,1.1,1,JE Root
951373,West Indies,2,CH Gayle,2,0.1,4,2,1,0,0,0,1,0,caught,0,0,0,0,0,5,1.3,2,JE Root
951373,West Indies,2,MN Samuels,3,1.2,85,66,20,31,3,0,9,2,0,0,0,0,0,0,0,0.0,0,0
951373,West Indies,2,LMP Simmons,4,1.4,0,1,1,0,0,0,0,0,lbw,0,0,0,0,0,11,2.3,3,DJ Willey
