city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Kuala Lumpur,DLF Cup,2006/09/22,,,,,,256614,male,0,6,BC Broad,,true,,B Lee,Sarika Prasad,2006/07,,India,bat,Australia,AL Hill,Asad Rauf,MR Benson,Kinrara Academy Oval,Australia,,18,
Singapore,Asian Cricket Council Elite League,2014/06/13,,,,,,746107,male,0,,RT Mohamed,,,,Abhiraj Singh,C Madhavan,2014,,Maldives,field,Singapore,,AK Rana,N Sivan,The Padang,Singapore,,,8
Jamaica,,2009/06/26,,,,,,377313,male,0,1,BC Broad,,,,Yuvraj Singh,C Fletcher,2009,India in West Indies ODI Series,India,bat,India,CE Mack,NJ Llong,NA Malcolm,"""Sabina Park",India,,20,
Fatullah,,2006/04/26,,,,,,238174,male,0,2,JJ Crowe,,,,A Symonds,,2005/06,Australia in Bangladesh ODI Series,Australia,bat,Australia,Nadir Shah,AFM Akhtaruddin,IL Howell,Narayanganj Osmani Stadium,Australia,,67,
Colombo,,2009/02/05,,,,,,386533,male,0,4,BC Broad,,,,G Gambhir,MSK Nandiweera,2008/09,India in Sri Lanka ODI Series,India,bat,India,MG Silva,HDPK Dharmasena,BG Jerling,R Premadasa Stadium,India,,67,
Dharamsala,,2013/01/27,,,,,,565816,male,0,5,AJ Pycroft,,,,IR Bell,S Das,2012/13,England in India ODI Series,England,field,England,C Shamshuddin,S Asnani,SJ Davis,Himachal Pradesh Cricket Association Stadium,England,,,7
Centurion,,2016/09/30,,,,,,936135,male,0,1,BC Broad,,,,Q de Kock,S George,2016/17,Australia in South Africa ODI Series,Australia,field,South Africa,NJ Llong,BP Jele,JS Wilson,SuperSport Park,South Africa,,,6
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/04,,,,,,576407,male,0,,DT Jukes,,true,,P Khadka,B Ramani,2012,,Tanzania,bat,Tanzania,,SN Bandekar,V Kalidas,Bayuemas Oval,Nepal,,,8
Centurion,,2017/02/10,,,,,,936167,male,0,5,RB Richardson,,,,HM Amla,AT Holdstock,2016/17,Sri Lanka in South Africa ODI Series,Sri Lanka,field,Sri Lanka,RK Illingworth,S George,RA Kettleborough,SuperSport Park,South Africa,,88,
Dublin,,2010/06/17,,,,,,426384,male,0,,BC Broad,,,,JR Hopes,L Fourie,2010,,Australia,bat,Australia,,RA Kettleborough,NJ Llong,Clontarf Cricket Club Ground,Australia,,39,
