city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Hamilton,ICC Cricket World Cup,2015/03/13,,,,,,656471,male,0,37,BC Broad,,,,MJ Guptill,JD Cloete,2014/15,,Bangladesh,field,New Zealand,NJ Llong,HDPK Dharmasena,RA Kettleborough,Seddon Park,New Zealand,,,3
Barbados,,2016/06/26,,,,,,932867,male,0,,JJ Crowe,,,,MR Marsh,GO Brathwaite,2016,West Indies Tri-Nation Series,Australia,bat,Australia,HDPK Dharmasena,RA Kettleborough,JS Wilson,"""Kensington Oval",Australia,,58,
Darwin,,2008/09/06,,,,,,336204,male,0,3,J Srinath,,,,Tamim Iqbal,BNJ Oxenford,2008,Bangladesh in Australia ODI Series,Bangladesh,bat,Australia,RJ Tucker,PD Parker,AM Saheba,Marrara Cricket Ground,Australia,,73,
Cardiff,World Cup,2019/06/08,,,,,,1144494,male,0,12,DC Boon,,,,JJ Roy,PR Reiffel,2019,,Bangladesh,field,Bangladesh,BNJ Oxenford,JS Wilson,HDPK Dharmasena,Sophia Gardens,England,,106,
Johannesburg,,2015/01/18,,,,,,722341,male,0,2,BC Broad,,,,AB de Villiers,JD Cloete,2014/15,West Indies in South Africa ODI Series,West Indies,field,West Indies,S Ravi,SJ Davis,AT Holdstock,New Wanderers Stadium,South Africa,,148,
,,2014/07/09,,,,,,730085,male,0,2,JJ Crowe,,,,TM Dilshan,RR Wimalasiri,2014,South Africa in Sri Lanka ODI Series,South Africa,bat,Sri Lanka,SJ Davis,NJ Llong,RSA Palliyaguruge,Pallekele International Cricket Stadium,Sri Lanka,,87,
Colombo,,2011/08/22,,,,,,516210,male,0,5,J Srinath,,,,SL Malinga,RSA Palliyaguruge,2011,Australia in Sri Lanka ODI Series,Australia,field,Sri Lanka,AL Hill,Asad Rauf,REJ Martinesz,R Premadasa Stadium,Sri Lanka,,,4
,ICC Cricket World Cup,2015/02/27,,,,,,656435,male,0,19,RS Mahanama,,true,,AB de Villiers,Aleem Dar,2014/15,,West Indies,bat,South Africa,REJ Martinesz,SJ Davis,IJ Gould,Sydney Cricket Ground,South Africa,,257,
Rajkot,,2008/11/14,,,,,,361043,male,0,1,RS Mahanama,,,,Yuvraj Singh,MR Singh,2008/09,England in India ODI Series,England,field,England,SL Shastri,AM Saheba,RB Tiffin,Madhavrao Scindia Cricket Ground,India,,158,
East London,"""ICC Women's Championship",2016/02/27,,,,,,907391,female,0,2,S Wadvalla,,,,SR Taylor,PJ Vosloo,2015/16,West Indies Women in South Africa ODI Series,West Indies,bat,West Indies,,A Paleker,DJ Smith,Buffalo Park,West Indies,,57,
Mount Maunganui,"""ICC Women's Championship",2016/02/20,,,,,,916661,female,0,1,SR Bernard,,,,AE Satterthwaite,D Venter,2015/16,Rose Bowl,Australia,field,Australia,,K Cross,AL Gillies,Bay Oval,New Zealand,,9,
Perth,,2010/01/29,,,,,,406205,male,0,4,RS Madugalle,,,,RJ Harris,MD Martell,2009/10,Pakistan in Australia ODI Series,Pakistan,bat,Australia,PR Reiffel,EAR de Silva,RJ Tucker,Western Australia Cricket Association Ground,Australia,,135,
Potchefstroom,,2013/10/26,,,,,,668511,female,0,2,D Govindjee,,,,M du Preez,R Ellis,2013/14,Sri Lanka Women in South Africa ODI Series,Sri Lanka,field,Sri Lanka,,RN Birkenstock,PJ Vosloo,Senwes Park,South Africa,,67,
Belfast,,2012/06/23,,,,,,534214,male,0,,BC Broad,,,no result,,K Smith,2012,,Australia,field,Australia,MA Eggleston,M Hawthorne,RA Kettleborough,"""Civil Service Cricket Club",,,,
Windhoek,ICC World Cricket League Division Two,2015/01/23,,,,,,812803,male,0,,D Govindjee,,true,,IA Karim,C Thorburn,2014/15,,Nepal,field,Kenya,,AK Chaudhary,M Hawthorne,Affies Park,Kenya,,,5
Worcester,"""ICC Women's Championship",2016/06/22,,,,,,946547,female,0,2,DT Jukes,,,,L Winfield,S Redfern,2016,Pakistan Women in England ODI Series,Pakistan,field,Pakistan,MJ Saggers,DJ Millns,AG Wharf,"""County Ground",England,,212,
Margao,,2007/02/14,,,,,,267715,male,0,3,AG Hurst,,,,Z Khan,SK Tarapore,2006/07,Sri Lanka in India ODI Series,Sri Lanka,bat,Sri Lanka,SL Shastri,AM Saheba,SJA Taufel,"""Nehru Stadium",India,,,5
Delhi,,2009/12/27,,,,,,430890,male,0,5,AG Hurst,,,no result,,S Das,2009/10,Sri Lanka in India ODI Series,Sri Lanka,field,India,SS Hazare,M Erasmus,SK Tarapore,Feroz Shah Kotla,,,,
,Sri Lanka Triangular Series,2010/08/19,2010/08/20,,,,,473315,male,0,4,AG Hurst,,,no result,,AG Dissanayake,2010,,New Zealand,field,New Zealand,REJ Martinesz,Asad Rauf,TH Wijewardene,Rangiri Dambulla International Stadium,,,,
Dunedin,,2010/02/08,,,,,,423784,male,0,2,AG Hurst,,,,LRPL Taylor,EA Watkin,2009/10,Bangladesh in New Zealand ODI Series,Bangladesh,field,New Zealand,CB Gaffaney,AL Hill,RA Kettleborough,University Oval,New Zealand,,,5
Derby,ICC Women's World Cup,2017/07/02,,,,,,1085955,female,0,11,RB Richardson,,true,,E Bisht,L Rusere,2017,,Pakistan,bat,India,P Wilson,GO Brathwaite,S George,County Ground,India,,95,
Nelson,ICC Cricket World Cup,2015/02/19,,,,,,656413,male,0,8,BC Broad,,true,,SC Williams,REJ Martinesz,2014/15,,Zimbabwe,field,Zimbabwe,RK Illingworth,JD Cloete,CB Gaffaney,Saxton Oval,Zimbabwe,,,4
,,2011/11/14,,,,,,530428,male,0,2,AJ Pycroft,,true,,SL Malinga,Ahsan Raza,2011/12,Pakistan v Sri Lanka ODI Series,Sri Lanka,bat,Sri Lanka,M Erasmus,RK Illingworth,Zameer Haider,Dubai International Cricket Stadium,Sri Lanka,,25,
Mirpur,Tri-Nation Tournament in Bangladesh,2009/01/10,,,,,,378753,male,0,1,AG Hurst,,,,E Chigumbura,Enamul Haque,2008/09,,Zimbabwe,field,Bangladesh,AFM Akhtaruddin,BR Doctrove,Nadir Shah,Shere Bangla National Stadium,Zimbabwe,,38,
Grenada,ICC World Cup,2007/04/10,,,,,,247493,male,0,37,BC Broad,,,,AB de Villiers,Asad Rauf,2006/07,,South Africa,field,West Indies,Aleem Dar,MR Benson,DJ Harper,"""National Cricket Stadium",South Africa,,67,
Wormsley,,2012/07/11,,,,,,542856,female,0,5,,D/L,,,GA Elwiss,,2012,India Women in England ODI Series,India,field,England,,NL Bainton,DJ Millns,Sir Paul Getty's Ground,England,,29,
,Zimbabwe Triangular Series,2014/09/06,,,,,,736455,male,0,,J Srinath,,true,,DW Steyn,O Chirombe,2014,,South Africa,field,South Africa,became the onfield umpire,Aleem Dar,RB Tiffin,Harare Sports Club,South Africa,,,6
London,World Cup,2019/06/25,,,,,,1144514,male,0,32,RS Madugalle,,,,AJ Finch,JS Wilson,2019,,Australia,field,England,HDPK Dharmasena,CB Gaffaney,S Ravi,Lord's,Australia,,64,
Abu Dhabi,,2013/12/25,,,,,,657643,male,0,4,J Srinath,,true,,Mohammad Hafeez,Shozab Raza,2013/14,Pakistan v Sri Lanka ODI Series,Sri Lanka,bat,Sri Lanka,JD Cloete,Ahsan Raza,RK Illingworth,Sheikh Zayed Stadium,Pakistan,,,8
Napier,ICC Cricket World Cup,2015/03/08,,,,,,656459,male,0,31,DC Boon,,,,DL Vettori,RJ Tucker,2014/15,,Afghanistan,bat,Afghanistan,SJ Davis,JD Cloete,M Erasmus,McLean Park,New Zealand,,,6
Mirpur,,2015/11/11,,,,,,931394,male,0,3,J Srinath,,,,Tamim Iqbal,Anisur Rahman,2015/16,Zimbabwe in Bangladesh ODI Series,Zimbabwe,bat,Bangladesh,Enamul Haque,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium,Bangladesh,,61,
,Sri Lanka Triangular Series,2010/08/10,,,,,,456662,male,0,1,AG Hurst,,true,,LRPL Taylor,SH Sarathkumara,2010,,New Zealand,bat,New Zealand,HDPK Dharmasena,REJ Martinesz,SJA Taufel,Rangiri Dambulla International Stadium,New Zealand,,200,
Colombo,,2006/03/17,,,,,,238213,male,0,1,AG Hurst,,,no result,,,2005/06,Pakistan in Sri Lanka ODI Series,Pakistan,field,Sri Lanka,TH Wijewardene,SJ Davis,EAR de Silva,R Premadasa Stadium,,,,
,,2007/11/30,,,,,,317578,male,0,1,BC Broad,,,,CJ Chibhabha,TJ Tapfumaneyi,2007/08,West Indies in Zimbabwe ODI Series,West Indies,field,West Indies,ID Robinson,KC Barbour,BG Jerling,Harare Sports Club,Zimbabwe,,30,
Mirpur,,2009/10/29,,,,,,422627,male,0,2,RS Madugalle,,,,Abdur Razzak,Anisur Rahman,2009/10,Zimbabwe in Bangladesh ODI Series,Zimbabwe,bat,Zimbabwe,Nadir Shah,Aleem Dar,Enamul Haque,Shere Bangla National Stadium,Bangladesh,,,7
Chittagong,,2010/12/12,,,,,,486526,male,0,5,BC Broad,,,,Tamim Iqbal,Anisur Rahman,2010/11,Zimbabwe in Bangladesh ODI Series,Zimbabwe,bat,Zimbabwe,Enamul Haque,EAR de Silva,Nadir Shah,Zahur Ahmed Chowdhury Stadium,Bangladesh,,,6
Chittagong,,2009/11/05,,,,,,422630,male,0,5,RS Madugalle,,,,Naeem Islam,Tanvir Ahmed,2009/10,Zimbabwe in Bangladesh ODI Series,Zimbabwe,field,Bangladesh,,Aleem Dar,Enamul Haque,Zohur Ahmed Chowdhury Stadium,Bangladesh,,,1
,Zimbabwe Triangular Series,2014/09/02,,,,,,736451,male,0,5,J Srinath,,true,,MR Marsh,O Chirombe,2014,,South Africa,field,South Africa,TJ Matibiri,Aleem Dar,RB Tiffin,Harare Sports Club,Australia,,62,
Ahmedabad,ICC Cricket World Cup,2011/03/24,,,,,,433601,male,0,,RS Madugalle,,,,Yuvraj Singh,Asad Rauf,2010/11,,Australia,bat,Australia,RA Kettleborough,M Erasmus,IJ Gould,"""Sardar Patel Stadium",India,,,5
Potchefstroom,,2017/05/17,,,,,,1089528,female,0,9,D Govindjee,,,,CL Tryon,,2017,Women's Quadrangular Series (in South Africa),India,field,India,,BP Jele,TC Mokorosi,Senwes Park,South Africa,,8,
London,World Cup,2019/06/09,,,,,,1144496,male,0,14,AJ Pycroft,,,,S Dhawan,RSA Palliyaguruge,2019,,India,bat,India,NJ Llong,IJ Gould,CB Gaffaney,Kennington Oval,India,,36,
Vadodara,,2010/12/04,,,,,,467885,male,0,3,RS Mahanama,,,,G Gambhir,UV Gandhe,2010/11,New Zealand in India ODI Series,New Zealand,field,India,SS Hazare,RA Kettleborough,SK Tarapore,Reliance Stadium,India,,,9
Los Angeles,ICC World Cricket League Division Four,2016/11/04,,,,,,1062509,male,0,,D Govindjee,,true,,Khawar Ali,GO Brathwaite,2016/17,,Oman,field,Denmark,,L Oala,C Young,"""Severn Cricket Field",Oman,,43,
Faisalabad,,2008/04/11,,,,,,343760,male,0,2,MJ Procter,D/L,,,Salman Butt,Iqbal Butt,2007/08,Bangladesh in Pakistan ODI Series,Bangladesh,bat,Bangladesh,Nadeem Ghauri,Aleem Dar,SA Bucknor,Iqbal Stadium,Pakistan,,,7
Chandigarh,,2011/10/20,,,,,,521220,male,0,3,RS Mahanama,,,,AM Rahane,VA Kulkarni,2011/12,England in India ODI Series,England,bat,England,S Ravi,S Asnani,BF Bowden,"""Punjab Cricket Association Stadium",India,,,5
Cape Town,,2011/01/18,,,,,,463152,male,0,3,BC Broad,,,,YK Pathan,BG Jerling,2010/11,India in South Africa ODI Series,India,bat,South Africa,S George,JD Cloete,SJA Taufel,Newlands,India,,,2
Dublin,,2017/05/14,,,,,,1033363,male,0,2,RS Madugalle,,,,MJ Santner,AJ Neill,2017,Ireland Tri-Nation Series,New Zealand,field,Ireland,IJ Gould,M Hawthorne,NJ Llong,Malahide,New Zealand,,51,
Navile,ICC World Cricket League Division Four,2010/08/21,,,,,,467095,male,0,,DT Jukes,,true,,RA Sealy,S Ketipe,2010,,Cayman Islands,bat,Argentina,,A Bisson,L Fourie,Centro Sportivo Dozza,Cayman Islands,,,7
Mirpur,,2014/06/15,,,,,,744679,male,0,1,RS Mahanama,D/L,,,AM Rahane,Masudur Rahman,2014,India in Bangladesh ODI Series,India,bat,Bangladesh,Sharfuddoula,HDPK Dharmasena,Enamul Haque,Shere Bangla National Stadium,India,,,7
,,2016/01/23,,,,,,895815,male,0,5,JJ Crowe,,,,MK Pandey,GA Abood,2015/16,India in Australia ODI Series,India,field,India,JD Ward,RA Kettleborough,P Wilson,Sydney Cricket Ground,India,,,6
Colombo,ICC Women's World Cup Qualifier,2017/02/21,,,,,,1073430,female,0,,,,true,,DB Sharma,JM Williams,2016/17,,South Africa,bat,South Africa,S Redfern,K Cross,CA Polosak,P Sara Oval,India,,,1
Hambantota,ICC Cricket World Cup,2011/02/23,,,,,,433563,male,0,6,BC Broad,,true,,Umar Akmal,SK Tarapore,2010/11,,Pakistan,bat,Pakistan,DJ Harper,AL Hill,NJ Llong,"""Mahinda Rajapaksa International Cricket Stadium",Pakistan,,205,
Cape Town,,2007/12/02,,,,,,298798,male,0,3,J Srinath,,,,HH Gibbs,S George,2007/08,New Zealand in South Africa ODI Series,New Zealand,bat,New Zealand,M Erasmus,MR Benson,IL Howell,Newlands,South Africa,,,5
Colombo,"""ICC Women's Championship",2014/10/19,,,,,,757507,female,0,3,GF Labrooy,,,,AC Jayangani,RD Kottahachchi,2014/15,South Africa Women in Sri Lanka ODI Series,South Africa,field,Sri Lanka,,REJ Martinesz,RSA Palliyaguruge,Sinhalese Sports Club Ground,Sri Lanka,,,4
London,,2016/06/29,,,,,,913629,male,0,4,DC Boon,D/L,,,JJ Roy,MA Gough,2016,Sri Lanka in England ODI Series,Sri Lanka,field,England,PR Reiffel,RJ Bailey,BNJ Oxenford,Kennington Oval,England,,,6
Colombo,ICC Women's World Cup Qualifier,2017/02/13,,,,,,1073417,female,0,17,,,true,,Poonam Yadav,ID Gunawardene,2016/17,,Zimbabwe,bat,Zimbabwe,,K Cross,IN Ramage,P Sara Oval,India,,,9
Kuala Lumpur,ICC World Cricket League Division Four,2012/09/03,,,,,,576402,male,0,,DT Jukes,,true,,Aftab Ahmed,B Ramani,2012,,Tanzania,bat,Denmark,,V Kalidas,Sri Ganesh,Kinrara Academy Oval,Denmark,,88,
Hong Kong,"""ICC World Cricket League Championship",2017/02/18,,,,,,1068732,male,0,34,D Govindjee,,,,MJG Rippon,IA Thomson,2016/17,,Netherlands,bat,Netherlands,,BB Pradhan,Tabarak Dar,"""Mission Road Ground",Netherlands,,13,
,,2010/11/02,,,,,,461568,male,0,3,AJ Pycroft,,true,,HM Amla,Nadeem Ghauri,2010/11,Pakistan v South Africa ODI Series,South Africa,field,Pakistan,Zameer Haider,Aleem Dar,RJ Tucker,Dubai International Cricket Stadium,South Africa,,2,
London,,2009/09/04,,,,,,350043,male,0,1,RS Mahanama,,,,CJ Ferguson,IJ Gould,2009,NatWest Series,Australia,field,England,PJ Hartley,AL Hill,NJ Llong,Kennington Oval,Australia,,4,
Hobart,,2009/01/18,,,,,,351685,male,0,2,RS Madugalle,,,,SE Marsh,SG John,2008/09,South Africa in Australia ODI Series,South Africa,field,South Africa,PR Reiffel,IJ Gould,RJ Tucker,Bellerive Oval,Australia,,5,
Bangalore,,2008/11/23,,,,,,361046,male,0,4,RS Mahanama,D/L,,,V Sehwag,S Ravi,2008/09,England in India ODI Series,England,field,England,SK Tarapore,DJ Harper,AM Saheba,M Chinnaswamy Stadium,India,,19,
Kimberley,,2012/01/20,,,,,,514038,male,0,4,JJ Crowe,,,,NLTC Perera,S George,2011/12,Sri Lanka in South Africa ODI Series,Sri Lanka,bat,South Africa,NJ Llong,JD Cloete,BR Doctrove,De Beers Diamond Oval,Sri Lanka,,,5
Kuala Lumpur,ICC World Cricket League Division Three,2014/10/27,,,,,,785977,male,0,,D Govindjee,,true,no result,,V Kalidas,2014/15,,United States of America,bat,United States of America,,R D'Mello,Sri Ganesh,Kinrara Academy Oval,,,,
Chennai,,2012/12/30,,,,,,589308,male,0,1,RS Mahanama,,,,MS Dhoni,CK Nandan,2012/13,Pakistan in India ODI Series,Pakistan,field,Pakistan,S Asnani,BF Bowden,S Ravi,"""MA Chidambaram Stadium",Pakistan,,,6
Apia,ICC World Cricket League Division Eight,2012/09/22,,,,,,579753,male,0,,SR Bernard,,true,,J Dunn,GAV Baxter,2012,,Vanuatu,bat,Vanuatu,,ND Harrison,Shahul Hameed,Faleata Oval No 1,Vanuatu,,39,
Centurion,ICC Champions Trophy,2009/09/30,,,,,,415283,male,0,11,J Srinath,,true,,MEK Hussey,Asad Rauf,2009/10,,Pakistan,field,Australia,IJ Gould,BF Bowden,AL Hill,SuperSport Park,Australia,,,2
,,2009/01/16,,,,,,351684,male,0,1,RS Madugalle,,,,JA Morkel,AP Ward,2008/09,South Africa in Australia ODI Series,South Africa,bat,Australia,RJ Tucker,IJ Gould,BNJ Oxenford,Melbourne Cricket Ground,South Africa,,,3
Trinidad,ICC World Cup,2007/03/19,,,,,,247468,male,0,12,AG Hurst,,true,,V Sehwag,SJ Davis,2006/07,,India,field,Bermuda,DJ Harper,Aleem Dar,IL Howell,"""Queen's Park Oval",India,,257,
,,2007/12/14,,,,,,291345,male,0,1,RS Mahanama,,,,RT Ponting,SD Fry,2007/08,Chappell-Hadlee Trophy,New Zealand,bat,New Zealand,BNJ Oxenford,MR Benson,SJ Davis,Adelaide Oval,Australia,,,7
Kimberley,"""ICC Women's Championship",2016/10/11,,,,,,935813,female,0,2,GH Pienaar,,,,M du Preez,BM White,2016/17,New Zealand Women in South Africa ODI Series,New Zealand,field,South Africa,,RN Hendricks,A Paleker,Diamond Oval,South Africa,,,4
Dublin,England tour of Ireland 2019,2019/05/03,,,,,,1161014,male,0,,RB Richardson,,,,BT Foakes,AJ Neill,2019,,England,field,England,Aleem Dar,HDPK Dharmasena,PA Reynolds,"""The Village",England,,,4
Colombo,,2014/12/16,,,,,,750675,male,0,7,DC Boon,,,,TM Dilshan,RR Wimalasiri,2014/15,England in Sri Lanka ODI Series,England,bat,Sri Lanka,BNJ Oxenford,REJ Martinesz,RJ Tucker,R Premadasa Stadium,Sri Lanka,,87,
Kuala Lumpur,Asian Cricket Council Premier League,2014/05/05,,,,,,736519,male,0,12,RJ Ratnayake,,,,Fayyaz Ahmed,BB Pradhan,2014,,United Arab Emirates,field,United Arab Emirates,,UK Brahmanage,VK Jha,Kinrara Academy Oval,United Arab Emirates,,,6
Mount Maunganui,ICC Cricket World Cup Qualifier,2014/01/28,,,,,,696747,male,0,,D Govindjee,,true,,MJG Rippon,JM Dempsey,2013/14,,Netherlands,bat,Canada,,RSA Palliyaguruge,RT Robinson,Bay Oval,Netherlands,,,8
Singapore,ICC World Cricket League Division Four,2014/06/25,,,,,,749561,male,0,,SR Bernard,,true,,Shahrulnizam Yusof,Ahmed Shah Pakteen,2014,,Malaysia,field,Italy,,Akbar Ali,N Morrison,Indian Association Ground,Malaysia,,6,
Brisbane,Commonwealth Bank Series,2008/03/04,,,,,,291372,male,0,2,JJ Crowe,,,,P Kumar,TP Laycock,2007/08,,India,bat,India,BNJ Oxenford,AL Hill,SJA Taufel,"""Brisbane Cricket Ground",India,,9,
Antigua,ICC World Cup,2007/04/02,,,,,,247487,male,0,31,MJ Procter,,true,,SE Bond,BF Bowden,2006/07,,New Zealand,field,New Zealand,Asad Rauf,Aleem Dar,RE Koertzen,"""Sir Vivian Richards Stadium",New Zealand,,,9
Nairobi,,2007/10/18,,,,,,296685,male,0,1,MJ Procter,,,,,SR Modi,2007/08,Canada in Kenya ODI Series,Canada,field,Kenya,,M Erasmus,BB Pradhan,Gymkhana Club Ground,Kenya,,,4
Chennai,Afro-Asia Cup,2007/06/09,,,,,,289108,male,0,2,BC Broad,,true,,CRD Fernando,AM Saheba,2007,,Asia XI,bat,Asia XI,SL Shastri,AL Hill,PD Parker,"""MA Chidambaram Stadium",Asia XI,,31,
,ICC Women's World Cup Qualifier,2017/02/15,,,,,,1073423,female,0,23,,,true,,Jahanara Alam,CA Polosak,2016/17,,Ireland,field,Bangladesh,,LS Reifer,JM Williams,Colombo Cricket Club Ground,Bangladesh,,,7
Singapore,ICC World Cricket League Division Four,2014/06/21,,,,,,749539,male,0,,SR Bernard,,,,Yasir Iqbal,N Mohanty,2014,,Denmark,field,Singapore,,DA Haggo,RSA Palliyaguruge,Kallang Ground,Denmark,,70,
Leicester,ICC Women's World Cup,2017/07/05,,,,,,1085959,female,0,15,DT Jukes,,true,,EJ Villani,JM Williams,2017,,Pakistan,bat,Australia,,AK Chaudhary,S Redfern,Grace Road,Australia,,159,
,,2016/01/04,,,,,,953341,male,0,4,DT Jukes,,true,,CJ Chibhabha,Iftikhar Ali,2015/16,Afghanistan v Zimbabwe ODI Series,Zimbabwe,bat,Zimbabwe,AK Chaudhary,VA Kulkarni,C Shamshuddin,Sharjah Cricket Stadium,Zimbabwe,,65,
Abu Dhabi,,2009/05/01,,,,,,392619,male,0,4,JJ Crowe,,true,,DE Bollinger,Nadeem Ghauri,2009,Australia v Pakistan ODI Series,Pakistan,bat,Pakistan,Zameer Haider,Aleem Dar,BF Bowden,Sheikh Zayed Stadium,Australia,,,8
Port Moresby,"""ICC World Cricket League Championship",2016/10/23,,,,,,1004255,male,0,30,SR Bernard,,,,,L Oala,2016/17,,Namibia,bat,Namibia,,CM Brown,A Kapa,Amini Park,Papua New Guinea,,,6
Mirpur,,2012/12/07,,,,,,587474,male,0,4,AJ Pycroft,,,,DJG Sammy,Gazi Sohel,2012/13,West Indies in Bangladesh ODI Series,West Indies,field,Bangladesh,Anisur Rahman,Enamul Haque,REJ Martinesz,Shere Bangla National Stadium,West Indies,,75,
Napier,,2009/03/03,,,,,,366623,male,0,1,RS Madugalle,D/L,,,MS Dhoni,EA Watkin,2008/09,India in New Zealand ODI Series,India,bat,India,GAV Baxter,AL Hill,RE Koertzen,McLean Park,India,,53,
Los Angeles,ICC World Cricket League Division Four,2016/10/30,,,,,,1062500,male,0,,D Govindjee,,true,,Jatinder Singh,C Young,2016/17,,Oman,field,Oman,,Akbar Ali,L Oala,"""Severn Cricket Field",Oman,,,4
,Commonwealth Bank Series,2012/02/12,,,,,,518959,male,0,4,AJ Pycroft,,,,G Gambhir,,2011/12,,India,bat,Australia,BNJ Oxenford,NJ Llong,PR Reiffel,Adelaide Oval,India,,,4
,,2006/02/25,,,,,,238170,male,0,3,CH Lloyd,,,,KC Sangakkara,,2005/06,Sri Lanka in Bangladesh ODI Series,Sri Lanka,field,Bangladesh,Nadir Shah,AFM Akhtaruddin,K Hariharan,Chittagong Divisional Stadium,Sri Lanka,,78,
Abu Dhabi,,2009/11/09,,,,,,426722,male,0,3,AJ Pycroft,,true,,Mohammad Amir,Ahsan Raza,2009/10,Pakistan v New Zealand ODI Series,Pakistan,bat,New Zealand,Zameer Haider,Nadeem Ghauri,BNJ Oxenford,Sheikh Zayed Stadium,New Zealand,,7,
Windhoek,ICC World Cricket League Division Two,2015/01/20,,,,,,812787,male,0,,D Govindjee,,true,,P Khadka,AK Chaudhary,2014/15,,Nepal,bat,Canada,,M Hawthorne,RT Robinson,Wanderers Cricket Ground,Nepal,,,7
St Kitts,ICC World Cup,2007/03/16,,,,,,247462,male,0,7,RS Madugalle,,true,,HH Gibbs,EAR de Silva,2006/07,,South Africa,field,Netherlands,SA Bucknor,MR Benson,AL Hill,"""Warner Park",South Africa,,221,
,,2007/10/01,,,,,,291217,male,0,1,J Srinath,,,,MF Maharoof,ID Gunawardene,2007/08,England in Sri Lanka ODI Series,England,bat,Sri Lanka,TH Wijewardene,EAR de Silva,RE Koertzen,Rangiri Dambulla International Stadium,Sri Lanka,,119,
,,2012/11/06,,,,,,582189,male,0,3,AJ Pycroft,D/L,,,TM Dilshan,HMNC Dhanasinghe,2012/13,New Zealand in Sri Lanka ODI Series,New Zealand,field,Sri Lanka,REJ Martinesz,HDPK Dharmasena,IJ Gould,Pallekele International Cricket Stadium,Sri Lanka,,,7
Jamaica,,2012/07/07,,,,,,560924,male,0,2,AJ Pycroft,,,,MN Samuels,PJ Nero,2012,New Zealand in West Indies ODI Series,New Zealand,field,New Zealand,RA Kettleborough,GO Brathwaite,RK Illingworth,"""Sabina Park",West Indies,,55,
Kuala Lumpur,ICC World Cricket League Division Five,2014/03/10,,,,,,722677,male,0,,GF Labrooy,,true,,BDH Stevens,Shafizan Shahriman,2013/14,,Jersey,bat,Jersey,,K Cross,A Kapa,Bayuemas Oval,Jersey,,122,
Windhoek,ICC World Cricket League Division Two,2015/01/23,,,,,,812801,male,0,,D Govindjee,,,,CG Williams,A Louw,2014/15,,Canada,field,Namibia,,S George,BB Pradhan,United Cricket Club Ground,Namibia,,,8
Southampton,,2013/09/16,,,,,,566945,male,0,5,JJ Crowe,,,,SR Watson,RT Robinson,2013,NatWest Series,Australia,bat,Australia,S Ravi,Aleem Dar,RJ Bailey,The Rose Bowl,Australia,,49,
Antigua,,2017/03/03,,,,,,1027315,male,0,1,JJ Crowe,,,,EJG Morgan,N Duguid,2016/17,England in West Indies ODI Series,England,field,West Indies,CB Gaffaney,GO Brathwaite,RSA Palliyaguruge,"""Sir Vivian Richards Stadium",England,,45,
Colombo,,2008/08/24,,,,,,343734,male,0,3,BC Broad,,,,MS Dhoni,WA Senanayake,2008,India in Sri Lanka ODI Series,India,bat,India,MG Silva,BR Doctrove,TH Wijewardene,R Premadasa Stadium,India,,33,
Mirpur,Asia Cup,2014/03/06,,,,,,710309,male,0,10,JJ Crowe,,,,AD Mathews,Tanvir Ahmed,2013/14,,Sri Lanka,bat,Bangladesh,Ahsan Raza,BF Bowden,BNJ Oxenford,Shere Bangla National Stadium,Sri Lanka,,,3
Mirpur,,2010/12/01,,,,,,486520,male,0,1,BC Broad,,,,CB Mpofu,Masudur Rahman,2010/11,Zimbabwe in Bangladesh ODI Series,Zimbabwe,field,Bangladesh,Sharfuddoula,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,Zimbabwe,,9,
,ICC Cricket World Cup,2015/03/29,,,,,,656495,male,0,,RS Madugalle,,,,JP Faulkner,IJ Gould,2014/15,,New Zealand,bat,New Zealand,M Erasmus,HDPK Dharmasena,RA Kettleborough,Melbourne Cricket Ground,Australia,,,7
Nottingham,,2012/09/05,,,,,,534232,male,0,5,AJ Pycroft,,,,HM Amla,RJ Bailey,2012,NatWest Series,South Africa,bat,England,SJA Taufel,HDPK Dharmasena,RK Illingworth,Trent Bridge,South Africa,,,7
,,2007/08/26,,,,,,300488,male,0,3,J Srinath,,,,AB de Villiers,TJ Matibiri,2007,South Africa in Zimbabwe ODI Series,South Africa,bat,South Africa,ID Robinson,KC Barbour,SJ Davis,Harare Sports Club,South Africa,,28,
Mirpur,ICC Cricket World Cup,2011/02/25,,,,,,433566,male,0,9,RS Mahanama,,,,Tamim Iqbal,M Erasmus,2010/11,,Ireland,bat,Bangladesh,BF Bowden,Aleem Dar,RJ Tucker,Shere Bangla National Stadium,Bangladesh,,27,
St Lucia,,2009/04/03,,,,,,352669,male,0,5,J Srinath,,,,A Flintoff,CE Mack,2008/09,England in West Indies ODI Series,England,field,West Indies,GE Greaves,SJ Davis,NA Malcolm,"""Beausejour Stadium",England,,26,
Nottingham,,2008/08/26,,,,,,296915,male,0,2,RS Mahanama,,,,SCJ Broad,NL Bainton,2008,NatWest Series,South Africa,bat,South Africa,NJ Llong,MR Benson,SJA Taufel,Trent Bridge,England,,,10
